S_AU12Mean_mean,S_AU12Mean_std,S_AU12Mean_max,S_AU12Mean_min,S_AU12Variance_mean,S_AU12Variance_std,S_AU12Variance_max,S_AU12Variance_min,S_AU12ActivationFrequency_mean,S_AU12ActivationFrequency_std,S_AU12ActivationFrequency_max,S_AU12ActivationFrequency_min,S_AU15MeanAmplitude_mean,S_AU15MeanAmplitude_std,S_AU15MeanAmplitude_max,S_AU15MeanAmplitude_min,S_AU4MeanActivation_mean,S_AU4MeanActivation_std,S_AU4MeanActivation_max,S_AU4MeanActivation_min,S_AU4DurationRatio_mean,S_AU4DurationRatio_std,S_AU4DurationRatio_max,S_AU4DurationRatio_min,S_AU1AU2PeakIntensity_mean,S_AU1AU2PeakIntensity_std,S_AU1AU2PeakIntensity_max,S_AU1AU2PeakIntensity_min,S_AU20ActivationRate_mean,S_AU20ActivationRate_std,S_AU20ActivationRate_max,S_AU20ActivationRate_min,S_LipCompressionFrequency_mean,S_LipCompressionFrequency_std,S_LipCompressionFrequency_max,S_LipCompressionFrequency_min,S_BlinkRate_mean,S_BlinkRate_std,S_BlinkRate_max,S_BlinkRate_min,S_BlinkClusterDensity_mean,S_BlinkClusterDensity_std,S_BlinkClusterDensity_max,S_BlinkClusterDensity_min,S_BaselineEyeOpenness_mean,S_BaselineEyeOpenness_std,S_BaselineEyeOpenness_max,S_BaselineEyeOpenness_min,S_GazeShiftFrequency_mean,S_GazeShiftFrequency_std,S_GazeShiftFrequency_max,S_GazeShiftFrequency_min,S_EyeContactRatio_mean,S_EyeContactRatio_std,S_EyeContactRatio_max,S_EyeContactRatio_min,S_DownwardGazeFrequency_mean,S_DownwardGazeFrequency_std,S_DownwardGazeFrequency_max,S_DownwardGazeFrequency_min,S_MeanHeadVelocity_mean,S_MeanHeadVelocity_std,S_MeanHeadVelocity_max,S_MeanHeadVelocity_min,S_HeadVelocityPeak_mean,S_HeadVelocityPeak_std,S_HeadVelocityPeak_max,S_HeadVelocityPeak_min,S_HeadMotionEnergy_mean,S_HeadMotionEnergy_std,S_HeadMotionEnergy_max,S_HeadMotionEnergy_min,S_LandmarkDisplacementMean_mean,S_LandmarkDisplacementMean_std,S_LandmarkDisplacementMean_max,S_LandmarkDisplacementMean_min,S_PostureRigidityIndex_mean,S_PostureRigidityIndex_std,S_PostureRigidityIndex_max,S_PostureRigidityIndex_min,S_OverallAUVariance_mean,S_OverallAUVariance_std,S_OverallAUVariance_max,S_OverallAUVariance_min,S_FacialEmotionalRange_mean,S_FacialEmotionalRange_std,S_FacialEmotionalRange_max,S_FacialEmotionalRange_min,S_FacialTransitionFrequency_mean,S_FacialTransitionFrequency_std,S_FacialTransitionFrequency_max,S_FacialTransitionFrequency_min,S_NearZeroAUActivationRatio_mean,S_NearZeroAUActivationRatio_std,S_NearZeroAUActivationRatio_max,S_NearZeroAUActivationRatio_min,S_MotionEnergyFloorScore_mean,S_MotionEnergyFloorScore_std,S_MotionEnergyFloorScore_max,S_MotionEnergyFloorScore_min,S_GestureFrequency_mean,S_GestureFrequency_std,S_GestureFrequency_max,S_GestureFrequency_min,S_MicroMotionEnergy_mean,S_MicroMotionEnergy_std,S_MicroMotionEnergy_max,S_MicroMotionEnergy_min,S_ShoulderElevationIndex_mean,S_ShoulderElevationIndex_std,S_ShoulderElevationIndex_max,S_ShoulderElevationIndex_min,S_ResponseLatencyMean_mean,S_ResponseLatencyMean_std,S_ResponseLatencyMean_max,S_ResponseLatencyMean_min,S_SpeechOnsetDelay_mean,S_SpeechOnsetDelay_std,S_SpeechOnsetDelay_max,S_SpeechOnsetDelay_min,S_NodOnsetLatency_mean,S_NodOnsetLatency_std,S_NodOnsetLatency_max,S_NodOnsetLatency_min,S_PauseDurationMean_mean,S_PauseDurationMean_std,S_PauseDurationMean_max,S_PauseDurationMean_min,S_ExtendedSilenceRatio_mean,S_ExtendedSilenceRatio_std,S_ExtendedSilenceRatio_max,S_ExtendedSilenceRatio_min,S_ReactionTimeInstabilityIndex_mean,S_ReactionTimeInstabilityIndex_std,S_ReactionTimeInstabilityIndex_max,S_ReactionTimeInstabilityIndex_min
0.5410956651416254,0.02089072613423536,0.5855190617838251,0.5014833955863374,0.0004986915519727069,0.00014560284641466234,0.0006762710316501,0.0,1.0,0.0,1.0,1.0,0.08278154742664749,0.002317143395672987,0.0876242421147315,0.0773489620372627,0.7777133598213535,0.007442153583356613,0.796387844001642,0.7633799223871013,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09115592745929346,0.006423465664621839,0.0968050108851147,0.0481688258021875,0.0,0.0,0.0,0.0,0.1293830965314641,0.08477742755460795,0.2981549692821886,0.0,0.31084625717898096,0.2567814870330598,1.0,0.1214466719050175,0.005181031361966031,0.003513117559391846,0.0194276479459669,0.0,0.00699795768123391,0.004192805720436221,0.0251699304225948,0.0,0.025905156809830375,0.017565587796959246,0.0971382397298346,0.0,0.005307365087450478,0.003818730855643773,0.0208409565131368,0.0,0.9711084155374969,0.13795203116339616,0.9999995852868716,0.0,0.00027699885371314145,0.00012658491575031833,0.0004416633642055,0.0,0.0641484012769151,0.022967108546528642,0.0840356661973968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14783892856116046,0.14769372635729688,0.77193,0.0,0.0,0.0,0.0,0.0,0.004932133563337917,0.0014963675262611848,0.0071713240323422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024735185185167385,0.008381188025815963,0.0333333333328549,0.0,0.14783892856116046,0.14769372635729688,0.77193,0.0,1.9495694882429523e-05,7.660416114542828e-06,3.6109203978335744e-05,0.0
0.5523584897758252,0.010880080776467571,0.5702286675655209,0.5285269694150458,0.0005766745177725047,5.81144521080101e-05,0.0006731321169854,0.0004953771056027,1.0,0.0,1.0,1.0,0.08405738009411555,0.0017458441431684164,0.0874474552758641,0.0801885564336893,0.7773049708998944,0.007104556258861925,0.7928878160938534,0.757348506911315,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09564962669914388,0.0008584248088859802,0.097010260560241,0.0929969471751051,0.0,0.0,0.0,0.0,0.060619092841422105,0.012383563511960937,0.0874760004701317,0.0436769221336199,0.1119121713447735,0.022861963293003225,0.1614941522492126,0.0806343177851445,0.0038956875572285755,0.001361294123665301,0.0083427464494657,0.0020692978178786,0.005991154139736396,0.0020753623781612214,0.0122065710696819,0.0029707898761651,0.01947843778614307,0.006806470618326509,0.0417137322473288,0.0103464890893931,0.003800429267038351,0.0014420354216056021,0.0079379455631743,0.0016403944358165,0.9999969839314724,2.6177943155633485e-06,0.9999995622368564,0.9999884844843372,0.0003457151377726126,9.040145874227776e-05,0.0004365898047023,0.0001237364442073,0.07431026453910734,0.00939891790644279,0.0840356661974802,0.0438458758072648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02681155078107276,0.02339907690799137,0.0745197851505156,3.199849348732941e-12,0.0,0.0,0.0,0.0,0.004942512478939247,0.00047129239799859296,0.0055332944815766,0.0038670069200937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15480965426646293,0.15476265999994732,0.4659691442129875,0.0,0.0,0.0,0.0,0.0,0.008679629629609298,0.007087424466137076,0.0183333333341322,2.4459221702912176e-12,0.02681155078107276,0.02339907690799137,0.0745197851505156,3.199849348732941e-12,1.0239222477530203e-05,1.5163560505906484e-06,1.3603054854086556e-05,8.220803011188017e-06
0.3763757269623434,0.1754271468030822,0.7633502,0.0724466,0.2641820065114664,0.07223631359085544,0.3553591,0.000474769688103,0.52,0.09830783046228488,1.0,0.5,0.4304515710705048,0.23421437153296468,0.8271539,0.0503296,0.5277343310616596,0.20802288957094509,0.827369,0.0087175,0.52,0.09830783046228488,1.0,0.5,0.52,0.09830783046228488,1.0,0.5,0.52,0.09830783046228488,1.0,0.5,0.48,0.09830783046228488,0.5,0.0,0.48,0.09830783046228488,0.5,0.0,0.48,0.09830783046228488,0.5,0.0,0.589309910668771,0.1040156811234611,0.647719,0.0963028383440188,0.48,0.09830783046228488,0.5,0.0,0.22716985791433478,0.05716801776715546,0.3247627,0.0433737562120982,0.2866137478367206,0.047941157403602636,0.3311186,0.0669373568531044,0.5247537590695615,0.2377128548220613,0.967089,0.0017803280619895,0.504738626933961,0.22831494195455185,0.9486848,0.0027734539037081,0.5250894380144739,0.2369745368287978,0.967089,0.0089016403099478,0.5249024314664287,0.23834247103014078,0.9659172,0.0016968346979815,0.5548562365160634,0.09116889536777817,0.9999995878667384,0.5362923,0.1937549317453355,0.07150380950913175,0.3654512,0.0001167450298158,0.29443787375068015,0.0864516919096392,0.4632187,0.0419539585076187,0.48,0.09830783046228488,0.5,0.0,0.48,0.09830783046228488,0.5,0.0,0.3519436213333772,0.07186306382314604,0.367461,1.0975483266153985e-12,0.48,0.09830783046228488,0.5,0.0,0.21321488746350933,0.10347363941177908,0.5421497,0.0037106570143161,0.48,0.09830783046228488,0.5,0.0,0.48,0.09830783046228488,0.5,0.0,0.4840858218349471,0.17581458286179263,0.9633999,0.0062970290074472,0.48,0.09830783046228488,0.5,0.0,0.3927271326667002,0.08292467559064565,0.4141521,5.872659130869211e-13,0.3519436213333772,0.07186306382314604,0.367461,1.0975483266153985e-12,0.29889075622054817,0.06448904840264161,0.3500517,9.52857322156911e-06
0.4173990986666667,0.14451993453187598,0.77148,0.1108417,0.188363766,0.0270891527009827,0.2408621,0.1267405,0.5,0.0,0.5,0.5,0.5433716106666666,0.2201382433257982,0.928939,0.2272065,0.3934635266666666,0.22576853238453465,0.8026629,0.0264527,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4043597326666667,0.09704217888541314,0.5830132,0.2588719,0.5,0.0,0.5,0.5,0.23755818266666665,8.334183401726829e-08,0.2375582,0.2375575,0.2663634,0.0,0.2663634,0.2663634,0.3650758273333333,0.12195481776808781,0.9620254,0.257173,0.35552969133333334,0.11872234869842406,0.9434386,0.2398233,0.3650758273333333,0.12195481776808781,0.9620254,0.257173,0.37005672999999994,0.11725990972103409,0.9612172,0.2790208,0.5363103593333333,2.3810802541518206e-06,0.5363125,0.5362978,0.3758737366666667,0.07859451326783724,0.498609,0.1710551,0.44232600399999994,0.025929500059672334,0.4552497,0.3503367,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.39319039199999994,0.07118101848340211,0.5296707,0.3299031,0.5,0.0,0.5,0.5,0.5706220493333333,0.15606945153650195,0.7166111,0.1723157,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5901785786666667,0.23221395743523177,0.9648361,0.3612374,0.5,0.0,0.5,0.5,0.42677961000000003,0.2211157087260459,0.817941,0.1887919,0.39319039199999994,0.07118101848340211,0.5296707,0.3299031,0.26729051,0.008268800925422124,0.2806865,0.2553821
0.17108488333333333,0.11612478500757491,0.3751593,0.0215467,0.177571862,0.08880904095504724,0.3983438,0.1100862,0.5,0.0,0.5,0.5,0.5119658333333335,0.3361128017855868,0.9999546,0.028065,0.5974644986666665,0.32118928614978687,0.992931,0.0505224,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3481804273333333,0.060083485118233665,0.4456289,0.2411407,0.5,0.0,0.5,0.5,0.40967437866666667,0.21701223420578106,0.7761672,0.2375582,0.2879527513333333,0.030831227236713176,0.3377579,0.2663634,0.646674312,0.2586633695689998,0.9836574,0.3067189,0.656029146,0.25232171256624664,0.9901215,0.2811104,0.646674312,0.2586633695689998,0.9836574,0.3067189,0.6301457940000003,0.2594692965177615,0.9859073,0.2832046,0.5362953953333334,2.264200626876469e-05,0.536312,0.5361705,0.21952832733333333,0.12582570697990483,0.4657125,0.0879275,0.2580646766666666,0.06724080807633745,0.3559698,0.141899,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4666785973333333,0.07291815967004678,0.5296875,0.329917,0.5,0.0,0.5,0.5,0.2741206733333334,0.23475002146493107,0.8385953,0.0919877,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.653061754,0.31485932744369755,0.9981157,0.3597564,0.5,0.0,0.5,0.5,0.7728179879999999,0.2468825381042392,0.9663272,0.1889247,0.4666785973333333,0.07291815967004678,0.5296875,0.329917,0.24959005,0.004034930085731964,0.2551495,0.2412869
0.37042178066666653,0.37320460916298526,0.970288,0.0002108,0.9087988313333332,0.203160587904044,0.9999546,0.3877481,0.4812582746666668,0.00917308942659708,0.5,0.4750208,0.6022266086666668,0.36561876462277426,0.9999546,4.54e-05,0.13998938733333333,0.166715227161047,0.6112927,6.92e-05,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.49617235866666665,0.0019442903838685147,0.5,0.4950002,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.1333318,0.08415804420337557,0.2564677,0.0212705,0.5,0.0,0.5,0.5,0.7761769446666665,7.873612941960585e-07,0.7761771,0.7761701,0.33775790000000006,5.569711875796783e-17,0.3377579,0.3377579,0.525338422,0.14200779377314549,0.8492436,0.2998122,0.5225310679999999,0.14438304995779808,0.9323147,0.2677586,0.525338422,0.14200779377314549,0.8492436,0.2998122,0.5770822946666667,0.1358597803475935,0.8430505,0.3272008,0.5363068186666665,7.79582048294214e-06,0.5363126,0.5362669,0.9074914619999996,0.1972267308278002,0.9999546,0.4357818,0.8919711413333334,0.21591718679464744,0.9994685,0.3511355,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3299022386666667,1.186658874374359e-06,0.3299125,0.329902,0.5,0.0,0.5,0.5,0.9023946960000001,0.060941142983479316,0.9573937,0.6702183,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5786954553333333,0.23804556849677871,0.9692876,0.3597564,0.5,0.0,0.5,0.5,0.18878806666666667,1.0937593975305561e-05,0.1888831,0.1887859,0.3299022386666667,1.186658874374359e-06,0.3299125,0.329902,0.23835360866666666,0.0029907312678958678,0.2428964,0.2329923
0.450762598,0.20534770220828266,0.7641406,0.0587968,0.9999545999999998,2.227884750318713e-16,0.9999546,0.9999546,0.47502080000000024,2.227884750318713e-16,0.4750208,0.4750208,0.26300202066666667,0.13016518704245833,0.6193259,0.0420828,0.9389848013333335,0.14125266724742416,0.9989339,0.2634749,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4950001999999999,1.1139423751593565e-16,0.4950002,0.4950002,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.017425077333333334,0.007065640785649364,0.0375047,0.0076536,0.5,0.0,0.5,0.5,0.742109888,0.048513415500109826,0.8338367,0.6711531,0.44786280266666645,0.08400741466632569,0.552416,0.3377579,0.40442397133333335,0.06886694109800448,0.7151877,0.2922401,0.4024982453333334,0.08601148920763423,0.7826505,0.2715427,0.40442397133333335,0.06886694109800448,0.7151877,0.2922401,0.40583275999999996,0.0695985778152902,0.6881571,0.3136704,0.536308856,4.555422758653316e-06,0.5363123,0.5362796,0.8891538353333334,0.17225175021060465,0.9999546,0.497848,0.88111634,0.17107752153179528,0.9994685,0.4983535,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.5,0.0,0.5,0.5,0.37874719733333334,0.15580162248224674,0.6583833,0.1915701,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5706687653333333,0.2523729700321114,0.9600123,0.3597564,0.5,0.0,0.5,0.5,0.1887859,0.0,0.1887859,0.1887859,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.23256596599999999,0.0031258339206211897,0.2388415,0.2291969
0.43967545266666663,0.0973273854322186,0.6825382,0.1984538,0.6445646126666666,0.34320846164507746,0.9999546,0.1450011,0.4937591993333333,0.009174458535715146,0.5,0.4750208,0.2235407573333333,0.06768732639454592,0.4224309,0.0834622,0.9898905880000001,0.016518205983266674,0.9990948,0.882775,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4988278146666666,0.0019443004760735798,0.5,0.4950002,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.011280532666666666,0.0037725875799494457,0.0180218,0.0066117,0.5,0.0,0.5,0.5,0.9747121393333331,0.037861646645337046,0.9977075,0.8404044,0.5756725046666666,0.06397670998706198,0.7350816,0.5177759,0.37171758266666666,0.03718637844949717,0.4931192,0.2977467,0.3719199866666667,0.04522391091133166,0.510345,0.2829393,0.37171758266666666,0.03718637844949717,0.4931192,0.2977467,0.3648354186666667,0.03010738194335857,0.4907762,0.307464,0.5363098833333333,1.5704236450935056e-06,0.5363123,0.5363046,0.1861466013333333,0.14393184187944863,0.4971107,0.094824,0.2536416026666667,0.1498650351452118,0.4982741,0.1231634,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.5,0.0,0.5,0.5,0.157396674,0.01605351861365969,0.1986675,0.1338741,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3911793166666666,0.0774391378620027,0.6848706,0.3597564,0.5,0.0,0.5,0.5,0.1887859,0.0,0.1887859,0.1887859,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.23398034599999998,0.0021923448286561968,0.2373886,0.2294917
0.4232376073333334,0.08364529312433618,0.6389246,0.2343458,0.070628772,0.03386488491072714,0.1466838,0.0420057,0.5,0.0,0.5,0.5,0.26764290799999996,0.06077725924347798,0.4666544,0.1356349,0.9682787893333333,0.03996676560586282,0.9962669,0.8088085,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.011277774666666667,0.0017606133548072748,0.0169022,0.0088894,0.5,0.0,0.5,0.5,0.9978328366666667,0.00120493206683759,0.9990218,0.9927694,0.8394633186666666,0.03842103525470311,0.9140231,0.738221,0.39185392999999996,0.041552918422711665,0.489924,0.2995607,0.3904592426666667,0.0456886049253033,0.5582518,0.2851285,0.39185392999999996,0.041552918422711665,0.489924,0.2995607,0.37795414000000005,0.02411390218940938,0.4426285,0.3171621,0.5363096780000001,1.3729344461019373e-06,0.5363123,0.5363037,0.09548244266666668,0.0031085427742337988,0.1039314,0.0908819,0.131510928,0.010860361635259054,0.1553743,0.1076905,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.5,0.0,0.5,0.5,0.14098831333333336,0.006537412976870638,0.154154,0.1319308,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3597563999999999,5.569711875796783e-17,0.3597564,0.3597564,0.5,0.0,0.5,0.5,0.1887859,0.0,0.1887859,0.1887859,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.22469843000000006,0.002613310614042999,0.2294027,0.2206599
0.30484759666666666,0.08148809967840234,0.4920628,0.1517678,0.044818529999999995,0.0034358241167794013,0.0504875,0.0402276,0.5,0.0,0.5,0.5,0.20228288400000002,0.0561118938585343,0.3862307,0.1106805,0.9754343286666667,0.02354455269634111,0.9969028,0.8714959,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.01757691933333333,0.003834906082006655,0.023156,0.0104465,0.5,0.0,0.5,0.5,0.856416742,0.10644440851284312,0.9924153,0.719375,0.9621612133333334,0.01879652763316988,0.9789969,0.9152864,0.37757509333333333,0.039407892599773175,0.4944379,0.304032,0.3673860526666667,0.04760331588845959,0.5018288,0.2641323,0.37757509333333333,0.039407892599773175,0.4944379,0.304032,0.37257957266666664,0.029491141620921035,0.4674293,0.3189592,0.5363102453333333,1.292445092715573e-06,0.5363123,0.5363063,0.09644775733333334,0.00857868234398341,0.1095806,0.0856783,0.128345692,0.021999889175283765,0.1551551,0.0979455,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.5,0.0,0.5,0.5,0.153051994,0.004621027292513178,0.1597758,0.144529,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.3597563999999999,5.569711875796783e-17,0.3597564,0.3597564,0.5,0.0,0.5,0.5,0.1887859,0.0,0.1887859,0.1887859,0.32990200000000003,5.569711875796783e-17,0.329902,0.329902,0.21775841333333332,0.0013191462690505136,0.2206322,0.2160721
