frame_index,timestamp_ms,1_x,1_y,13_x,13_y,14_x,14_y,33_x,33_y,50_x,50_y,61_x,61_y,63_x,63_y,66_x,66_y,70_x,70_y,105_x,105_y,107_x,107_y,133_x,133_y,144_x,144_y,152_x,152_y,153_x,153_y,158_x,158_y,160_x,160_y,263_x,263_y,280_x,280_y,291_x,291_y,293_x,293_y,296_x,296_y,300_x,300_y,334_x,334_y,336_x,336_y,362_x,362_y,373_x,373_y,380_x,380_y,385_x,385_y,387_x,387_y,468_x,468_y,469_x,469_y,470_x,470_y,471_x,471_y,472_x,472_y,473_x,473_y,474_x,474_y,475_x,475_y,476_x,476_y,477_x,477_y
0,1772101474971,0.4960176348686218,0.23989452421665192,0.493915319442749,0.2632581293582916,0.494265079498291,0.27498313784599304,0.44187265634536743,0.18593549728393555,0.442750483751297,0.22647874057292938,0.46375346183776855,0.2687762975692749,0.43555307388305664,0.1584167182445526,0.4595503509044647,0.15741387009620667,0.4287281036376953,0.16445328295230865,0.44601234793663025,0.1558372974395752,0.47478726506233215,0.15980538725852966,0.4704696834087372,0.18536239862442017,0.4523090720176697,0.19098372757434845,0.4961404800415039,0.3247700333595276,0.4627213478088379,0.18924930691719055,0.45990270376205444,0.18384118378162384,0.4494173526763916,0.18503378331661224,0.5350619554519653,0.18199150264263153,0.5379214286804199,0.2192349135875702,0.5198979377746582,0.26293548941612244,0.5390304923057556,0.1533290147781372,0.5182644128799438,0.15466728806495667,0.5443884134292603,0.15789109468460083,0.5300389528274536,0.15200099349021912,0.5045331120491028,0.15798062086105347,0.5082828402519226,0.18263362348079681,0.5259544849395752,0.18525128066539764,0.5159019827842712,0.18459506332874298,0.5177110433578491,0.18422715365886688,0.5278563499450684,0.18462367355823517,0.4561227560043335,0.18670278787612915,0.4618210196495056,0.18593129515647888,0.45551156997680664,0.17979249358177185,0.45028382539749146,0.18744200468063354,0.456671804189682,0.19347846508026123,0.5211796164512634,0.1830969899892807,0.5269250273704529,0.1828572154045105,0.5209181308746338,0.1764705926179886,0.5153945088386536,0.18325889110565186,0.5214042663574219,0.18954314291477203
1,1772101475053,0.4973752796649933,0.24219927191734314,0.4952789545059204,0.26587677001953125,0.49586382508277893,0.27443167567253113,0.44224444031715393,0.18513795733451843,0.4438472390174866,0.22816790640354156,0.46480321884155273,0.2663784623146057,0.43560299277305603,0.15735173225402832,0.45950549840927124,0.15623986721038818,0.42929840087890625,0.16358356177806854,0.44583243131637573,0.1546507179737091,0.4752684533596039,0.15863801538944244,0.47170406579971313,0.18398649990558624,0.45273277163505554,0.18953454494476318,0.49796804785728455,0.32628291845321655,0.4635026156902313,0.18755318224430084,0.4608575105667114,0.18375658988952637,0.4500015079975128,0.18503263592720032,0.5387246012687683,0.18123406171798706,0.5400249361991882,0.21957139670848846,0.5233943462371826,0.2600337266921997,0.5419691801071167,0.15094143152236938,0.5207054615020752,0.15250518918037415,0.5474287271499634,0.1563040316104889,0.532798707485199,0.14949941635131836,0.5064545273780823,0.15650832653045654,0.5107845664024353,0.1834842711687088,0.5298379063606262,0.18589600920677185,0.519285261631012,0.18574072420597076,0.5208133459091187,0.18256458640098572,0.531339704990387,0.1824234575033188,0.45747166872024536,0.18573340773582458,0.4631892740726471,0.18485227227210999,0.4569682776927948,0.17893734574317932,0.45163270831108093,0.18655750155448914,0.4578949809074402,0.19242331385612488,0.5253585577011108,0.18257325887680054,0.5314868688583374,0.18204696476459503,0.5249244570732117,0.17578542232513428,0.5191213488578796,0.1830335259437561,0.5257590413093567,0.18922339379787445
2,1772101475096,0.499837726354599,0.23890574276447296,0.497580349445343,0.26208561658859253,0.4983130097389221,0.2728448212146759,0.44521501660346985,0.18377193808555603,0.4464302957057953,0.22645774483680725,0.4671793282032013,0.2664276361465454,0.4375377297401428,0.1573159396648407,0.4610744118690491,0.15508854389190674,0.4314536154270172,0.16378316283226013,0.44756126403808594,0.15406087040901184,0.4766402244567871,0.1569434553384781,0.4739849865436554,0.18216821551322937,0.45513078570365906,0.1877833753824234,0.5020161271095276,0.325056791305542,0.46566471457481384,0.1858457773923874,0.4628329575061798,0.18067151308059692,0.4523855149745941,0.1822756677865982,0.5403631925582886,0.17663529515266418,0.5431113839149475,0.21508458256721497,0.525644838809967,0.2582596242427826,0.5436823964118958,0.14847102761268616,0.5223796963691711,0.15052679181098938,0.5492435693740845,0.15294970571994781,0.5344594717025757,0.14735275506973267,0.5080868005752563,0.15457969903945923,0.5124232172966003,0.17953093349933624,0.5314439535140991,0.18083356320858002,0.5208824276924133,0.18106916546821594,0.5225191712379456,0.1792096197605133,0.533137857913971,0.17882071435451508,0.45952796936035156,0.18334108591079712,0.4656889736652374,0.1823556274175644,0.4587962329387665,0.17654015123844147,0.45326218008995056,0.18428534269332886,0.46019428968429565,0.1900385320186615,0.5258859395980835,0.17889955639839172,0.5319543480873108,0.17822711169719696,0.5253391861915588,0.1720435917377472,0.5197760462760925,0.17948150634765625,0.5264254808425903,0.18555530905723572
3,1772101475121,0.5023415684700012,0.23784010112285614,0.5014945268630981,0.26032790541648865,0.5024303197860718,0.2712380290031433,0.44806209206581116,0.18186025321483612,0.44880080223083496,0.22520098090171814,0.47209057211875916,0.26538553833961487,0.43896806240081787,0.1572253257036209,0.46248653531074524,0.1538030505180359,0.4333256185054779,0.1635688841342926,0.4488547444343567,0.1535399854183197,0.4783529043197632,0.1549297571182251,0.47740495204925537,0.17959655821323395,0.45808571577072144,0.1851913183927536,0.5053615570068359,0.3235584497451782,0.468830406665802,0.18307682871818542,0.4658726155757904,0.17730513215065002,0.4550776779651642,0.1794123649597168,0.5418146848678589,0.17370828986167908,0.5470523834228516,0.21320317685604095,0.5289747714996338,0.2571686804294586,0.5465275645256042,0.14566285908222198,0.5247024297714233,0.14762303233146667,0.5524142384529114,0.15027238428592682,0.5370612740516663,0.14446943998336792,0.5102968215942383,0.1517319232225418,0.5138626098632812,0.17713996767997742,0.5329186320304871,0.1785350739955902,0.5223886966705322,0.17873787879943848,0.5243657827377319,0.17399561405181885,0.5349366664886475,0.17407304048538208,0.4628162384033203,0.1808483898639679,0.4691866636276245,0.17985539138317108,0.46213972568511963,0.17409294843673706,0.4563490152359009,0.1818097084760666,0.4634113907814026,0.1875458061695099,0.526028573513031,0.17502528429031372,0.5320674180984497,0.17458473145961761,0.525669276714325,0.16802731156349182,0.5200144648551941,0.17536431550979614,0.5263797640800476,0.18188440799713135
4,1772101475147,0.5070253014564514,0.23659783601760864,0.506173312664032,0.25851064920425415,0.5073947310447693,0.2705633044242859,0.4511285424232483,0.18000918626785278,0.4534708559513092,0.2244875729084015,0.47657686471939087,0.2634901702404022,0.44254329800605774,0.15591618418693542,0.46623051166534424,0.15205487608909607,0.436890572309494,0.1623828113079071,0.4524836540222168,0.15206943452358246,0.4823974370956421,0.15282148122787476,0.48120352625846863,0.1774195432662964,0.46118831634521484,0.1831856220960617,0.5099828839302063,0.32386642694473267,0.47224852442741394,0.1809796690940857,0.4695730209350586,0.17536406219005585,0.4583747386932373,0.17747032642364502,0.5449034571647644,0.16955971717834473,0.5507400631904602,0.21152830123901367,0.5340853929519653,0.2540965676307678,0.549993634223938,0.14260245859622955,0.5282669067382812,0.14550094306468964,0.5558179616928101,0.14707022905349731,0.5405724048614502,0.1417635679244995,0.5139369964599609,0.15018564462661743,0.5174098014831543,0.17451471090316772,0.5361561179161072,0.17484945058822632,0.5258052945137024,0.17537224292755127,0.5281032919883728,0.1692807972431183,0.5384624004364014,0.16907253861427307,0.466501384973526,0.17878513038158417,0.47309964895248413,0.17771467566490173,0.4656105935573578,0.17194628715515137,0.45983338356018066,0.17982923984527588,0.4673183560371399,0.1855618804693222,0.5295770764350891,0.17163941264152527,0.5350557565689087,0.17116795480251312,0.5291094779968262,0.16468192636966705,0.5241766571998596,0.1719844788312912,0.5300260782241821,0.17849524319171906
5,1772101475171,0.5113052725791931,0.23469965159893036,0.5111889839172363,0.2577821910381317,0.5122345089912415,0.26860061287879944,0.45605605840682983,0.17954042553901672,0.45759910345077515,0.22384288907051086,0.4818336069583893,0.2623133063316345,0.44809913635253906,0.15396630764007568,0.4718188941478729,0.15060532093048096,0.4420700669288635,0.1610625684261322,0.45819735527038574,0.1500554382801056,0.4875393509864807,0.15217044949531555,0.4854051172733307,0.1782747358083725,0.46552953124046326,0.18372729420661926,0.5160892605781555,0.3222651779651642,0.476363867521286,0.18198594450950623,0.47363513708114624,0.1745884269475937,0.46288323402404785,0.176285982131958,0.5501091480255127,0.16795304417610168,0.5563214421272278,0.2099004089832306,0.538813591003418,0.2530727982521057,0.5553812384605408,0.14058899879455566,0.5333148241043091,0.14284181594848633,0.5611972212791443,0.14554131031036377,0.5458124279975891,0.13935242593288422,0.5188146233558655,0.14753395318984985,0.5229557156562805,0.1735215187072754,0.541579008102417,0.17272932827472687,0.5313854217529297,0.17375564575195312,0.5332393050193787,0.16761514544487,0.5434554815292358,0.1671350598335266,0.468208909034729,0.17849496006965637,0.4746238589286804,0.17739465832710266,0.4674018621444702,0.17152118682861328,0.46173906326293945,0.17954836785793304,0.46894288063049316,0.18537648022174835,0.5357732176780701,0.1698043942451477,0.5416163802146912,0.16915437579154968,0.5352742075920105,0.16275934875011444,0.5299401879310608,0.17036914825439453,0.5362703800201416,0.17672686278820038
6,1772101475191,0.5170453786849976,0.23371350765228271,0.5178257822990417,0.2560906410217285,0.519007682800293,0.26646947860717773,0.4626028835773468,0.17722192406654358,0.46263134479522705,0.2219318151473999,0.4876724183559418,0.26227766275405884,0.4520478844642639,0.15199147164821625,0.47604620456695557,0.1487801969051361,0.4465239942073822,0.1586376428604126,0.4620126783847809,0.14823248982429504,0.49255645275115967,0.15015795826911926,0.4912918508052826,0.1752644181251526,0.47193053364753723,0.1811387538909912,0.5221571326255798,0.3214365839958191,0.4824480712413788,0.1790820211172104,0.47928130626678467,0.17141614854335785,0.4688876271247864,0.17384114861488342,0.5569212436676025,0.16487762331962585,0.5627892017364502,0.20738500356674194,0.5449000000953674,0.2523418068885803,0.562615692615509,0.1375308334827423,0.5406960844993591,0.1396171748638153,0.5679674744606018,0.14233006536960602,0.5533116459846497,0.13623499870300293,0.5255011320114136,0.14429542422294617,0.5273969173431396,0.17052343487739563,0.5481159090995789,0.17053061723709106,0.5367485284805298,0.17146337032318115,0.5389003157615662,0.1649492084980011,0.5502285957336426,0.16434793174266815,0.47596919536590576,0.17582260072231293,0.48191115260124207,0.17477890849113464,0.47527939081192017,0.1690603345632553,0.46991413831710815,0.17682118713855743,0.4765835702419281,0.18253180384635925,0.5414189100265503,0.16720931231975555,0.5476552844047546,0.16649094223976135,0.5409432053565979,0.16025862097740173,0.5352000594139099,0.1678551733493805,0.5418923497200012,0.17406806349754333
7,1772101475211,0.52403724193573,0.23286400735378265,0.5251594185829163,0.25521278381347656,0.5263902544975281,0.2661823332309723,0.4683269262313843,0.17506355047225952,0.46910420060157776,0.22060304880142212,0.4944898188114166,0.26113033294677734,0.4591955542564392,0.15077781677246094,0.48302119970321655,0.14742934703826904,0.4533591866493225,0.1571233570575714,0.46919628977775574,0.1470651924610138,0.49924179911613464,0.14851385354995728,0.49823346734046936,0.1730448603630066,0.47838953137397766,0.1780894547700882,0.5299045443534851,0.32080763578414917,0.4893098771572113,0.17612355947494507,0.4862944185733795,0.17004181444644928,0.4751555323600769,0.17228707671165466,0.5643729567527771,0.1625770777463913,0.5703057050704956,0.20539039373397827,0.5532497763633728,0.2503916025161743,0.5693708658218384,0.13485988974571228,0.5466506481170654,0.1381080001592636,0.5754241943359375,0.13945859670639038,0.559592068195343,0.13409028947353363,0.5314013957977295,0.14342375099658966,0.5351470708847046,0.16896575689315796,0.5552600622177124,0.16866207122802734,0.5441720485687256,0.1696561574935913,0.5463774800300598,0.16287389397621155,0.5574210286140442,0.16219216585159302,0.48269253969192505,0.17374755442142487,0.4888027310371399,0.17279352247714996,0.48202329874038696,0.16681498289108276,0.476532518863678,0.174663707613945,0.48331090807914734,0.1806151419878006,0.5481497049331665,0.16563686728477478,0.5543826222419739,0.1647302508354187,0.5474893450737,0.15862196683883667,0.5419370532035828,0.16643255949020386,0.5487976670265198,0.17253102362155914
8,1772101475230,0.5329880118370056,0.23176756501197815,0.5334511995315552,0.25443702936172485,0.534368097782135,0.2653562128543854,0.47596311569213867,0.1746426373720169,0.4776829183101654,0.21997390687465668,0.5030561089515686,0.2601144015789032,0.4662046432495117,0.15007181465625763,0.4903566539287567,0.14622297883033752,0.4606015682220459,0.15647095441818237,0.4762292802333832,0.14619837701320648,0.5072070360183716,0.14696794748306274,0.5070385336875916,0.1726180613040924,0.48596426844596863,0.17838451266288757,0.538704514503479,0.31864652037620544,0.4974493980407715,0.17627331614494324,0.4941502511501312,0.16848532855510712,0.48262304067611694,0.17093123495578766,0.5729225873947144,0.1601770669221878,0.5794039368629456,0.2043183296918869,0.5621028542518616,0.24931269884109497,0.5784406065940857,0.13285262882709503,0.5554315447807312,0.13582633435726166,0.5845546722412109,0.1372700333595276,0.5685524344444275,0.1319946050643921,0.5400776863098145,0.14103437960147858,0.5441645979881287,0.1669403463602066,0.5635778307914734,0.16692006587982178,0.5526808500289917,0.16781800985336304,0.5552775859832764,0.1599348932504654,0.5660680532455444,0.15931731462478638,0.49011754989624023,0.17312096059322357,0.496722012758255,0.17204000055789948,0.48927462100982666,0.16600216925144196,0.4834557771682739,0.17418517172336578,0.4909113347530365,0.1801701784133911,0.5569702982902527,0.16333337128162384,0.5628469586372375,0.16272211074829102,0.5564776659011841,0.15609611570835114,0.5511990189552307,0.16377249360084534,0.5574752688407898,0.17048728466033936
9,1772101475262,0.5419424772262573,0.2301267832517624,0.5425736308097839,0.2557440996170044,0.5434825420379639,0.26425209641456604,0.4856860637664795,0.17368634045124054,0.48678457736968994,0.21929115056991577,0.5144646763801575,0.25967666506767273,0.474844753742218,0.14951978623867035,0.498540997505188,0.14487314224243164,0.46957191824913025,0.1562766134738922,0.48453596234321594,0.14522533118724823,0.5154191851615906,0.14532071352005005,0.5169112682342529,0.1712573915719986,0.49549201130867004,0.17743845283985138,0.5494014024734497,0.31899917125701904,0.5071145296096802,0.17521165311336517,0.5035557746887207,0.1667523831129074,0.49196144938468933,0.16952481865882874,0.5825555920600891,0.1573171615600586,0.5894769430160522,0.2014511376619339,0.5722529292106628,0.2478259801864624,0.5882109999656677,0.13003605604171753,0.5650351643562317,0.133429154753685,0.5940840840339661,0.13479943573474884,0.578284740447998,0.1292109191417694,0.549342930316925,0.1391632854938507,0.5529011487960815,0.16509129106998444,0.5736488699913025,0.16375848650932312,0.5623048543930054,0.165371835231781,0.5643481612205505,0.15744265913963318,0.5757551789283752,0.15619413554668427,0.500535786151886,0.1716402769088745,0.5070946216583252,0.17031961679458618,0.4996335804462433,0.1645299643278122,0.49391692876815796,0.17290538549423218,0.5013672113418579,0.1786920428276062,0.5673723816871643,0.16055883467197418,0.5736052393913269,0.15954510867595673,0.5666603446006775,0.153482586145401,0.5611673593521118,0.16144514083862305,0.5680792927742004,0.1675160974264145
