timestamp,S_AU12Mean,S_AU12Variance,S_AU12ActivationFrequency,S_AU15MeanAmplitude,S_AU4MeanActivation,S_AU4DurationRatio,S_AU1AU2PeakIntensity,S_AU20ActivationRate,S_LipCompressionFrequency,S_BlinkRate,S_BlinkClusterDensity,S_BaselineEyeOpenness,S_GazeShiftFrequency,S_EyeContactRatio,S_DownwardGazeFrequency,S_MeanHeadVelocity,S_HeadVelocityPeak,S_HeadMotionEnergy,S_LandmarkDisplacementMean,S_PostureRigidityIndex,S_OverallAUVariance,S_FacialEmotionalRange,S_FacialTransitionFrequency,S_NearZeroAUActivationRatio,S_MotionEnergyFloorScore,S_GestureFrequency,S_MicroMotionEnergy,S_ShoulderElevationIndex,S_ResponseLatencyMean,S_SpeechOnsetDelay,S_NodOnsetLatency,S_PauseDurationMean,S_ExtendedSilenceRatio,S_ReactionTimeInstabilityIndex
1772781154.4923222,0.48126678809421936,0,1.0,0.07504047957993688,0.7460583851795548,1.0,0.9845986352903915,1.0,0.0,0,0,0.15729870036423932,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772781154.536434,0.4821797708656248,0.0,1.0,0.07483248824704394,0.7413619360356257,1.0,0.9845986352903915,1.0,0.0,0.0,0.0,0.1570084058628209,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1772781154.558839,0.4853359762854692,0.0,1.0,0.07534872517646993,0.7351500650200299,1.0,0.9845986352903915,1.0,0.0,0.0,0.0,0.15676921913946723,0.51,0.0,1.0,0.01748235101610566,0.018788588846916213,0.08741175508052829,0.018288438485793916,0.2999973164852882,6.251531556623768e-08,0.00027389483142163386,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0
1772781154.5872824,0.4978493756379424,0.0,1.0,0.07699836671689544,0.7373656460963635,1.0,0.9853265150172645,1.0,0.0,0.0,0.0,0.1568973408585274,0.657,0.0,1.0,0.032099238891926334,0.036261476057050886,0.16049619445963165,0.03153367875003353,0.5099732807340276,9.555428118612197e-07,0.0014124828393700989,0.0,0.0,0.5569999999999999,0.0,0.0018288438485793916,0.0,0.0,0.0,0.0,0.005,0.5569999999999999,3.5338174780008554e-05
1772781154.6200018,0.4978902150518518,7.981771721574953e-05,1.0,0.0769247224543069,0.7438823375830135,1.0,0.9879021408116753,1.0,0.0,0.0,0.0,0.1565409101537935,0.7599,0.0,1.0,0.037834493659442324,0.044684020650319,0.1891724682972116,0.03639846811395077,0.6569394729565696,1.3877455270477223e-05,0.005963514250675984,0.0,0.0,0.5398999999999999,0.0,0.005016849486692633,0.0,0.0,0.0,0.005697612762451171,0.0085,0.5398999999999999,4.984118577567642e-05
1772781154.657502,0.5039721767982654,0.00014165008509917204,1.0,0.07752316669360529,0.7491463478001509,1.0,0.9908648350562885,1.0,0.0,0.0,0.0,0.15560259984604727,0.77193,0.0,1.0,0.034306131485604366,0.04078042483781532,0.17153065742802182,0.03340568238438781,0.7598527380619142,2.6336910393190078e-05,0.00916148806276293,0.0,0.0,0.49792999999999993,0.0,0.008685029761671537,0.0,0.0076607751846313465,0.0,0.00968594169616699,0.010950000000000001,0.49792999999999993,5.3781093978628284e-05
1772781154.6920404,0.500680469248451,0.0001746074039537298,1.0,0.0777608595475674,0.7477631268419014,1.0,0.9929387210275178,1.0,0.0,0.0,0.0,0.15458359171547525,0.7403509999999999,0.0,1.0,0.03084438646403667,0.03784088645231363,0.15422193232018333,0.03021506578196446,0.831886599430834,4.174796113753574e-05,0.013224658255147877,0.0,0.0,0.4485509999999999,0.0,0.012060834219878377,0.0,0.013023317813873288,0.0,0.012477771949768065,0.012665000000000001,0.4485509999999999,5.42552561540205e-05
1772781154.7275755,0.49555932253918267,0.00019623174596058372,1.0,0.07673551471947568,0.7413882493484611,1.0,0.9943904412073783,1.0,0.0,0.0,0.0,0.15376632194484968,0.7325314142857142,0.0,1.0,0.032870195774852846,0.041715140081243024,0.1643509788742642,0.032809626959762014,0.8822902420912717,5.235853891352648e-05,0.01606887738981734,0.0,0.0,0.3996999857142856,0.0,0.014864355390320456,0.0,0.016777097654342647,0.0,0.014432053127288815,0.0138655,0.3996999857142856,5.191315841818488e-05
1772781154.7604766,0.5005416064084012,0.00020972966415676222,1.0,0.0775018758818317,0.748545004040473,1.0,0.9960733088451648,1.0,0.0,0.0,0.0,0.15275312999710386,0.70027199,0.0,1.0,0.034932825803748624,0.04428908511365277,0.1746641290187431,0.034854324269590675,0.9175845607737445,5.71550235603596e-05,0.018059830784085965,0.0,0.0,0.35478998999999994,0.0,0.017254459791070285,0.0,0.019404743542671198,0.0,0.01580004995155334,0.01470585,0.35478998999999994,4.8468808696980594e-05
1772781154.7965202,0.5014603536004917,0.00021253469900211905,1.0,0.0775230878979975,0.7498259340066016,1.0,0.9972513161916152,1.0,0.0,0.0,0.0,0.15169084466370703,0.6568570596666666,0.0,1.0,0.029539923513010165,0.03770106308899419,0.14769961756505082,0.028929229207569747,0.9423054430393693,5.987878535419797e-05,0.019453498160074002,0.0,0.0,0.3150196596666666,0.0,0.01932829801193197,0.0,0.021244095664501184,0.0,0.016757647728538508,0.015294095,0.3150196596666666,4.455794554000682e-05
