1770255704.91,1.041,0.89,1.014,0.0,0.5,0.052
1770255705.11,1.05,2.746,0.992,0.251,0.5,0.052
1770255705.33,1.023,0.738,1.021,0.999,0.5,0.052
1770255705.63,0.982,0.491,1.031,0.811,0.5,0.053
1770255705.92,1.054,0.452,1.027,0.153,0.5,0.052
1770255706.2,1.014,0.724,1.011,0.27,0.5,0.051
1770255706.5,1.024,3.333,0.895,0.893,0.5,0.052
1770255706.71,1.235,4.138,0.757,0.0,0.5,0.051
1770255706.92,1.225,2.83,0.793,0.0,0.5,0.049
1770255707.2,1.216,5.612,0.699,0.352,0.5,0.046
1770255707.41,1.148,11.288,0.7,0.855,0.5,0.044
1770255707.71,1.326,3.463,0.675,0.0,0.5,0.045
1770255707.91,1.095,11.179,0.878,1.0,0.5,0.056
1770255708.13,0.416,97.859,1.39,1.0,0.5,0.069
1770255708.42,0.658,74.931,1.543,0.0,0.5,0.086
1770255708.81,1.489,47.876,1.356,0.039,0.5,0.102
1770255710.11,0.645,13.989,1.217,0.0,0.5,0.105
1770255710.51,1.134,1.08,1.213,0.284,0.5,0.103
1770257021.34,1.026,0.213,1.188,0.0,0.5,0.079
1770257021.57,1.077,0.174,1.218,0.0,0.5,0.082
1770257021.84,0.865,0.088,1.163,0.0,0.5,0.077
1770257022.05,1.088,0.124,1.177,0.0,0.5,0.072
1770257022.34,1.118,0.329,1.288,0.041,0.5,0.063
1770257022.64,0.987,1.312,1.331,0.324,0.5,0.064
1770257022.94,1.012,0.304,1.351,0.852,0.5,0.065
1770257023.14,1.118,0.18,1.289,0.058,0.5,0.066
1770257023.34,1.081,0.24,1.315,0.044,0.5,0.067
1770257023.56,1.077,0.262,1.301,0.185,0.5,0.066
1770257023.84,0.58,0.25,1.292,1.0,0.5,0.067
1770257024.04,0.852,0.191,1.28,0.598,0.5,0.067
1770257024.34,0.853,0.288,1.263,0.278,0.5,0.068
1770257024.64,1.183,0.154,1.331,0.0,0.5,0.068
1770257024.84,1.361,0.187,1.349,0.0,0.5,0.066
1770257025.04,0.545,12.804,1.44,1.0,0.5,0.071
1770257025.34,0.996,6.525,1.455,0.248,0.5,0.078
1770257025.55,1.055,3.104,1.397,0.062,0.5,0.08
1770257025.85,1.032,1.335,1.371,0.0,0.5,0.083
1770257026.14,1.058,1.662,1.371,0.24,0.5,0.077
1770257026.35,1.05,4.969,1.403,0.0,0.5,0.075
1770257026.55,1.048,0.544,1.404,0.0,0.5,0.074
1770257026.84,1.089,0.194,1.387,0.0,0.5,0.072
1770257027.04,1.093,0.24,1.363,0.0,0.5,0.071
1770257027.34,1.05,0.123,1.352,0.554,0.5,0.07
